Model,Variable,Coefficient,Std_Error,Z_value,P_value,Significance,Sample_Size,Participants
Human - Qwen Bias (Difference),C(country_grouped)[T.Other],0.0057,0.0662,0.086,0.9312,,1173,391
Human - Qwen Bias (Difference),C(student_grouped)[T.Other],-0.1254,0.0688,-1.823,0.0684,,1173,391
Human - Qwen Bias (Difference),C(employment_status)[T.Employed part-time],-0.0363,0.0607,-0.598,0.5496,,1173,391
Human - Qwen Bias (Difference),C(employment_status)[T.Not in labor force],-0.1237,0.0642,-1.928,0.0539,,1173,391
Human - Qwen Bias (Difference),C(employment_status)[T.Self-employed],0.0687,0.0603,1.139,0.2548,,1173,391
Human - Qwen Bias (Difference),C(employment_status)[T.Unemployed],-0.1265,0.0793,-1.595,0.1106,,1173,391
Human - Qwen Bias (Difference),"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",-0.0206,0.0494,-0.417,0.677,,1173,391
Human - Qwen Bias (Difference),C(highest_qualification)[T.Master's degree],0.0277,0.0579,0.478,0.6325,,1173,391
Human - Qwen Bias (Difference),C(highest_qualification)[T.No formal education],-0.1352,0.2239,-0.604,0.546,,1173,391
Human - Qwen Bias (Difference),C(highest_qualification)[T.PhD or higher],-0.0577,0.1252,-0.461,0.6449,,1173,391
Human - Qwen Bias (Difference),C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],-0.0721,0.0692,-1.041,0.2978,,1173,391
Human - Qwen Bias (Difference),initial_belief_normalized_centered,-0.2845,0.0058,-48.75,0.0,***,1173,391
Human - Qwen Bias (Difference),age_centered,0.0004,0.0016,0.265,0.7907,,1173,391
Human - Qwen Bias (Difference),familiarity_centered,0.0048,0.017,0.282,0.7776,,1173,391
Human - Qwen Bias (Difference),BIG5_extraversion_score_centered,-0.0114,0.0191,-0.599,0.5489,,1173,391
Human - Qwen Bias (Difference),BIG5_agreeableness_score_centered,-0.0787,0.0207,-3.804,0.0001,***,1173,391
Human - Qwen Bias (Difference),BIG5_conscientiousness_score_centered,0.0257,0.0251,1.022,0.3066,,1173,391
Human - Qwen Bias (Difference),BIG5_neuroticism_score_centered,-0.0054,0.0196,-0.273,0.7847,,1173,391
Human - Qwen Bias (Difference),BIG5_openness_score_centered,0.0157,0.0204,0.769,0.4419,,1173,391
Human - Qwen Bias (Difference),topic Var,1.0,,,,,1173,391
GPT-5.2 Belief Shift,Intercept,-0.5345,0.0512,-10.434,0.0,***,1173,391
GPT-5.2 Belief Shift,C(topic)[T.Penalty],0.427,0.0449,9.52,0.0,***,1173,391
GPT-5.2 Belief Shift,C(topic)[T.Weight Loss],0.5164,0.0445,11.614,0.0,***,1173,391
GPT-5.2 Belief Shift,C(stance_direction)[T.Con],-0.0466,0.0349,-1.333,0.1824,,1173,391
GPT-5.2 Belief Shift,C(gender)[T.Diverse],0.1188,0.3627,0.327,0.7434,,1173,391
GPT-5.2 Belief Shift,C(gender)[T.Male],0.0143,0.0382,0.374,0.7083,,1173,391
GPT-5.2 Belief Shift,C(ethnicity_grouped)[T.Other],0.1406,0.0548,2.564,0.0104,*,1173,391
GPT-5.2 Belief Shift,C(country_grouped)[T.Other],-0.0266,0.0602,-0.442,0.6583,,1173,391
GPT-5.2 Belief Shift,C(student_grouped)[T.Other],-0.0062,0.0627,-0.099,0.9213,,1173,391
GPT-5.2 Belief Shift,C(employment_status)[T.Employed part-time],0.0667,0.0552,1.208,0.2269,,1173,391
GPT-5.2 Belief Shift,C(employment_status)[T.Not in labor force],-0.0872,0.0583,-1.496,0.1347,,1173,391
GPT-5.2 Belief Shift,C(employment_status)[T.Self-employed],0.0479,0.0549,0.872,0.3834,,1173,391
GPT-5.2 Belief Shift,C(employment_status)[T.Unemployed],-0.0324,0.0722,-0.449,0.6533,,1173,391
GPT-5.2 Belief Shift,"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",0.056,0.0449,1.246,0.2127,,1173,391
GPT-5.2 Belief Shift,C(highest_qualification)[T.Master's degree],0.1278,0.0527,2.426,0.0153,*,1173,391
GPT-5.2 Belief Shift,C(highest_qualification)[T.No formal education],-0.465,0.2037,-2.282,0.0225,*,1173,391
GPT-5.2 Belief Shift,C(highest_qualification)[T.PhD or higher],0.0814,0.114,0.714,0.4752,,1173,391
GPT-5.2 Belief Shift,C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],-0.0659,0.063,-1.046,0.2955,,1173,391
GPT-5.2 Belief Shift,initial_belief_normalized_centered,-0.3082,0.0051,-60.8,0.0,***,1173,391
GPT-5.2 Belief Shift,age_centered,0.0008,0.0015,0.583,0.5598,,1173,391
GPT-5.2 Belief Shift,familiarity_centered,0.0361,0.0155,2.327,0.02,*,1173,391
GPT-5.2 Belief Shift,BIG5_extraversion_score_centered,0.0025,0.0174,0.141,0.8876,,1173,391
GPT-5.2 Belief Shift,BIG5_agreeableness_score_centered,-0.0217,0.0189,-1.147,0.2512,,1173,391
GPT-5.2 Belief Shift,BIG5_conscientiousness_score_centered,0.0181,0.0229,0.79,0.4293,,1173,391
GPT-5.2 Belief Shift,BIG5_neuroticism_score_centered,0.003,0.0179,0.169,0.8658,,1173,391
GPT-5.2 Belief Shift,BIG5_openness_score_centered,0.0156,0.0186,0.841,0.4001,,1173,391
GPT-5.2 Belief Shift,topic Var,1.0,,,,,1173,391
Claude Belief Shift,Intercept,-0.3543,0.0561,-6.317,0.0,***,1173,391
Claude Belief Shift,C(topic)[T.Penalty],0.2099,0.0492,4.268,0.0,***,1173,391
Claude Belief Shift,C(topic)[T.Weight Loss],0.3307,0.0488,6.781,0.0,***,1173,391
Claude Belief Shift,C(stance_direction)[T.Con],0.1662,0.0384,4.329,0.0,***,1173,391
Claude Belief Shift,C(gender)[T.Diverse],0.2999,0.3981,0.753,0.4512,,1173,391
Claude Belief Shift,C(gender)[T.Male],0.0362,0.042,0.861,0.3891,,1173,391
Claude Belief Shift,C(ethnicity_grouped)[T.Other],0.1118,0.0602,1.856,0.0634,,1173,391
Claude Belief Shift,C(country_grouped)[T.Other],-0.0076,0.0662,-0.114,0.9089,,1173,391
Claude Belief Shift,C(student_grouped)[T.Other],-0.0598,0.0688,-0.87,0.3843,,1173,391
Claude Belief Shift,C(employment_status)[T.Employed part-time],0.0566,0.0607,0.933,0.351,,1173,391
Claude Belief Shift,C(employment_status)[T.Not in labor force],-0.1118,0.0642,-1.741,0.0816,,1173,391
Claude Belief Shift,C(employment_status)[T.Self-employed],0.0075,0.0603,0.124,0.9012,,1173,391
Claude Belief Shift,C(employment_status)[T.Unemployed],-0.0616,0.0793,-0.776,0.4375,,1173,391
Claude Belief Shift,"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",0.0616,0.0494,1.248,0.2121,,1173,391
Claude Belief Shift,C(highest_qualification)[T.Master's degree],0.0945,0.0579,1.633,0.1026,,1173,391
Claude Belief Shift,C(highest_qualification)[T.No formal education],-0.2846,0.2239,-1.271,0.2037,,1173,391
Claude Belief Shift,C(highest_qualification)[T.PhD or higher],0.0072,0.1253,0.057,0.9542,,1173,391
Claude Belief Shift,C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],-0.0913,0.0692,-1.319,0.1872,,1173,391
Claude Belief Shift,initial_belief_normalized_centered,-0.202,0.0057,-35.369,0.0,***,1173,391
Claude Belief Shift,age_centered,0.0028,0.0016,1.784,0.0744,,1173,391
Claude Belief Shift,familiarity_centered,0.0328,0.017,1.922,0.0546,,1173,391
Claude Belief Shift,BIG5_extraversion_score_centered,0.0037,0.0191,0.194,0.8465,,1173,391
Claude Belief Shift,BIG5_agreeableness_score_centered,-0.0541,0.0207,-2.614,0.0089,**,1173,391
Claude Belief Shift,BIG5_conscientiousness_score_centered,0.0121,0.0252,0.481,0.6307,,1173,391
Claude Belief Shift,BIG5_neuroticism_score_centered,-0.0095,0.0197,-0.484,0.6283,,1173,391
Claude Belief Shift,BIG5_openness_score_centered,0.01,0.0204,0.493,0.6222,,1173,391
Claude Belief Shift,topic Var,1.0,,,,,1173,391
Gemini Belief Shift,Intercept,-0.3886,0.0507,-7.658,0.0,***,1172,391
Gemini Belief Shift,C(topic)[T.Penalty],0.291,0.0442,6.579,0.0,***,1172,391
Gemini Belief Shift,C(topic)[T.Weight Loss],0.2032,0.0439,4.624,0.0,***,1172,391
Gemini Belief Shift,C(stance_direction)[T.Con],0.2863,0.0346,8.282,0.0,***,1172,391
Gemini Belief Shift,C(gender)[T.Diverse],0.0045,0.3546,0.013,0.99,,1172,391
Gemini Belief Shift,C(gender)[T.Male],-0.013,0.0375,-0.346,0.7293,,1172,391
Gemini Belief Shift,C(ethnicity_grouped)[T.Other],0.1401,0.054,2.596,0.0094,**,1172,391
Gemini Belief Shift,C(country_grouped)[T.Other],0.0285,0.0593,0.48,0.6311,,1172,391
Gemini Belief Shift,C(student_grouped)[T.Other],-0.0572,0.0614,-0.932,0.3516,,1172,391
Gemini Belief Shift,C(employment_status)[T.Employed part-time],-0.0156,0.0544,-0.286,0.7749,,1172,391
Gemini Belief Shift,C(employment_status)[T.Not in labor force],-0.093,0.0568,-1.636,0.1019,,1172,391
Gemini Belief Shift,C(employment_status)[T.Self-employed],-0.0402,0.0542,-0.741,0.4585,,1172,391
Gemini Belief Shift,C(employment_status)[T.Unemployed],-0.0746,0.071,-1.051,0.2934,,1172,391
Gemini Belief Shift,"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",0.0076,0.0443,0.172,0.8631,,1172,391
Gemini Belief Shift,C(highest_qualification)[T.Master's degree],0.0377,0.0519,0.727,0.4671,,1172,391
Gemini Belief Shift,C(highest_qualification)[T.No formal education],-0.0868,0.2007,-0.433,0.6654,,1172,391
Gemini Belief Shift,C(highest_qualification)[T.PhD or higher],-0.0525,0.1122,-0.468,0.6399,,1172,391
Gemini Belief Shift,C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],0.0042,0.062,0.068,0.9454,,1172,391
Gemini Belief Shift,initial_belief_normalized_centered,-0.1095,0.0079,-13.789,0.0,***,1172,391
Gemini Belief Shift,age_centered,0.0007,0.0013,0.497,0.6188,,1172,391
Gemini Belief Shift,familiarity_centered,0.0206,0.0148,1.394,0.1635,,1172,391
Gemini Belief Shift,BIG5_extraversion_score_centered,0.0044,0.0171,0.255,0.7985,,1172,391
Gemini Belief Shift,BIG5_agreeableness_score_centered,-0.0249,0.0185,-1.345,0.1787,,1172,391
Gemini Belief Shift,BIG5_conscientiousness_score_centered,0.0041,0.0224,0.184,0.8543,,1172,391
Gemini Belief Shift,BIG5_neuroticism_score_centered,-0.0112,0.0174,-0.642,0.5211,,1172,391
Gemini Belief Shift,BIG5_openness_score_centered,0.0142,0.0183,0.779,0.436,,1172,391
Gemini Belief Shift,topic Var,1.0,,,,,1172,391
GPT-5 Mini Belief Shift,Intercept,-0.5573,0.0667,-8.361,0.0,***,1173,391
GPT-5 Mini Belief Shift,C(topic)[T.Penalty],0.5428,0.0584,9.295,0.0,***,1173,391
GPT-5 Mini Belief Shift,C(topic)[T.Weight Loss],0.5443,0.0578,9.41,0.0,***,1173,391
GPT-5 Mini Belief Shift,C(stance_direction)[T.Con],0.1355,0.0457,2.965,0.003,**,1173,391
GPT-5 Mini Belief Shift,C(gender)[T.Diverse],-0.009,0.4732,-0.019,0.9848,,1173,391
GPT-5 Mini Belief Shift,C(gender)[T.Male],-0.0119,0.0499,-0.238,0.8117,,1173,391
GPT-5 Mini Belief Shift,C(ethnicity_grouped)[T.Other],0.0778,0.0716,1.087,0.2771,,1173,391
GPT-5 Mini Belief Shift,C(country_grouped)[T.Other],0.0269,0.0787,0.342,0.7324,,1173,391
GPT-5 Mini Belief Shift,C(student_grouped)[T.Other],-0.0685,0.0815,-0.84,0.4007,,1173,391
GPT-5 Mini Belief Shift,C(employment_status)[T.Employed part-time],0.0605,0.0722,0.838,0.4021,,1173,391
GPT-5 Mini Belief Shift,C(employment_status)[T.Not in labor force],-0.1757,0.0759,-2.315,0.0206,*,1173,391
GPT-5 Mini Belief Shift,C(employment_status)[T.Self-employed],0.037,0.0718,0.515,0.6064,,1173,391
GPT-5 Mini Belief Shift,C(employment_status)[T.Unemployed],-0.0425,0.0943,-0.451,0.6522,,1173,391
GPT-5 Mini Belief Shift,"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",0.0126,0.0586,0.215,0.8295,,1173,391
GPT-5 Mini Belief Shift,C(highest_qualification)[T.Master's degree],0.0973,0.0689,1.413,0.1578,,1173,391
GPT-5 Mini Belief Shift,C(highest_qualification)[T.No formal education],-0.4412,0.2663,-1.657,0.0976,,1173,391
GPT-5 Mini Belief Shift,C(highest_qualification)[T.PhD or higher],-0.1491,0.1489,-1.001,0.3168,,1173,391
GPT-5 Mini Belief Shift,C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],0.0437,0.0823,0.531,0.5953,,1173,391
GPT-5 Mini Belief Shift,initial_belief_normalized_centered,-0.2037,0.0087,-23.521,0.0,***,1173,391
GPT-5 Mini Belief Shift,age_centered,0.0012,0.0018,0.669,0.5032,,1173,391
GPT-5 Mini Belief Shift,familiarity_centered,0.0246,0.0198,1.239,0.2153,,1173,391
GPT-5 Mini Belief Shift,BIG5_extraversion_score_centered,0.003,0.0227,0.13,0.8963,,1173,391
GPT-5 Mini Belief Shift,BIG5_agreeableness_score_centered,-0.084,0.0247,-3.407,0.0007,***,1173,391
GPT-5 Mini Belief Shift,BIG5_conscientiousness_score_centered,0.0409,0.0299,1.371,0.1703,,1173,391
GPT-5 Mini Belief Shift,BIG5_neuroticism_score_centered,-0.0241,0.0233,-1.033,0.3016,,1173,391
GPT-5 Mini Belief Shift,BIG5_openness_score_centered,0.0311,0.0242,1.281,0.2002,,1173,391
GPT-5 Mini Belief Shift,topic Var,1.0,,,,,1173,391
